iter	Passed	Remaining
0	3	10495
1	6	9761
2	9	9589
3	13	9615
4	16	9478
5	19	9407
6	22	9372
7	25	9279
8	28	9117
9	31	8968
10	33	8828
11	36	8882
12	40	8888
13	43	8894
14	46	8872
15	49	8871
16	52	8860
17	55	8856
18	58	8861
19	61	8859
20	64	8828
21	67	8859
22	70	8857
23	73	8859
24	76	8849
25	80	8840
26	83	8844
27	86	8851
28	89	8855
29	92	8870
30	95	8868
31	99	8881
32	102	8877
33	105	8869
34	108	8862
35	111	8854
36	114	8833
37	117	8836
38	120	8839
39	123	8848
40	126	8849
41	129	8838
42	132	8824
43	135	8813
44	139	8815
45	142	8827
46	146	8860
47	149	8897
48	152	8872
49	155	8840
50	158	8831
51	161	8826
52	164	8828
53	167	8826
54	170	8827
55	173	8823
56	176	8816
57	180	8820
58	183	8821
59	186	8819
60	189	8815
61	192	8816
62	195	8809
63	198	8805
64	201	8797
65	204	8798
66	208	8797
67	211	8796
68	214	8799
69	217	8797
70	220	8800
71	224	8800
72	227	8798
73	230	8792
74	233	8785
75	236	8784
76	239	8782
77	242	8772
78	245	8758
79	248	8748
80	251	8750
81	254	8747
82	257	8747
83	261	8750
84	264	8751
85	267	8753
86	270	8755
87	273	8747
88	277	8748
89	280	8740
90	283	8735
91	286	8737
92	289	8729
93	292	8724
94	295	8723
95	298	8719
96	301	8716
97	305	8717
98	308	8717
99	311	8708
100	314	8709
101	317	8702
102	320	8692
103	323	8690
104	326	8682
105	329	8680
106	332	8674
107	335	8671
108	338	8669
109	342	8672
110	345	8674
111	348	8672
112	351	8667
113	354	8666
114	357	8666
115	361	8662
116	364	8659
117	367	8658
118	370	8653
119	373	8645
120	376	8644
121	379	8644
122	382	8643
123	386	8647
124	389	8648
125	392	8648
126	396	8647
127	399	8646
128	402	8643
129	405	8635
130	408	8627
131	411	8619
132	414	8613
133	417	8610
134	420	8607
135	423	8606
136	426	8593
137	428	8579
138	431	8566
139	434	8553
140	436	8542
141	439	8530
142	442	8520
143	444	8510
144	448	8510
145	451	8511
146	454	8511
147	457	8510
148	460	8508
149	464	8508
150	467	8505
151	470	8498
152	473	8492
153	476	8489
154	479	8482
155	482	8479
156	485	8475
157	488	8476
158	491	8474
159	494	8473
160	498	8470
161	501	8468
162	504	8466
163	507	8463
164	510	8461
165	513	8459
166	517	8458
167	520	8455
168	523	8452
169	526	8450
170	529	8446
171	532	8444
172	535	8443
173	538	8440
174	542	8437
175	545	8434
176	548	8432
177	551	8431
178	554	8425
179	557	8421
180	560	8417
181	563	8415
182	566	8410
183	569	8409
184	573	8409
185	576	8403
186	579	8404
187	582	8401
188	585	8393
189	587	8383
190	590	8373
191	593	8365
192	596	8364
193	599	8361
194	602	8358
195	605	8351
196	608	8349
197	611	8347
198	615	8347
199	618	8347
200	621	8346
201	625	8345
202	628	8343
203	631	8341
204	634	8339
205	638	8345
206	641	8342
207	644	8340
208	648	8346
209	651	8342
210	654	8340
211	657	8335
212	660	8333
213	663	8329
214	667	8328
215	670	8326
216	673	8322
217	676	8319
218	679	8319
219	682	8316
220	686	8316
221	689	8314
222	692	8309
223	695	8306
224	698	8303
225	701	8302
226	705	8301
227	708	8298
228	711	8297
229	714	8296
230	718	8293
231	721	8288
